AIS,DATA,HORA,MUNICÍPIO,INDICIADO GÊNERO,INDICIADO IDADE,RELACIONAMENTO
AIS 20,2019-09-11,14:20:00,Quixadá,Masculino,45,Não informado
AIS 12,2019-09-11,19:00:00,Maracanaú,Masculino,39,Não informado
AIS 08,2019-09-12,18:00:00,Fortaleza,Masculino,39,Não informado
AIS 21,2019-09-13,03:30:00,Iguatu,Masculino,19,Não informado
AIS 15,2019-09-14,01:00:00,Ocara,Masculino,18,Não informado
AIS 11,2019-09-14,10:00:00,Caucaia,Masculino,42,Não informado
AIS 19,2019-09-14,10:00:00,Jardim,Masculino,42,Não informado
AIS 03,2019-09-14,12:00:00,Fortaleza,Masculino,45,Não informado
AIS 16,2019-09-14,20:00:00,Crateús,Masculino,24,Não informado
AIS 19,2019-09-15,19:00:00,Crato,Masculino,35,Não informado
AIS 14,2019-09-16,09:00:00,Mucambo,Masculino,42,Não informado
AIS 20,2019-09-16,09:30:00,Jaguaretama,Masculino,21,Não informado
AIS 17,2019-09-16,12:00:00,Itapajé,Masculino,39,Não informado
AIS 11,2019-09-17,19:30:00,Caucaia,Masculino,45,Não informado
AIS 16,2019-09-19,10:00:00,Hidrolândia,Masculino,38,Não informado
AIS 18,2019-09-21,16:00:00,Beberibe,Masculino,55,Não informado
AIS 20,2019-09-21,21:30:00,Quixeramobim,Masculino,20,Não informado
AIS 23,2019-09-22,15:00:00,Trairi,Masculino,35,Não informado
AIS 19,2019-09-23,18:30:00,Crato,Masculino,55,OUTROS
AIS 07,2019-09-24,12:00:00,Fortaleza,Feminino,13,Não informado
AIS 14,2019-09-24,19:00:00,Frecheirinha,Masculino,38,Não informado
AIS 23,2019-09-27,20:00:00,Trairi,Masculino,43,Não informado
AIS 19,2019-09-28,17:50:00,Aurora,Masculino,15,Não informado
AIS 17,2019-09-29,04:30:00,Acaraú,Masculino,37,Não informado
AIS 18,2019-09-29,14:30:00,Jaguaruana,Masculino,48,Não informado
AIS 17,2019-09-29,19:00:00,Pentecoste,Masculino,27,Não informado
AIS 22,2019-09-29,19:30:00,Tauá,Masculino,71,Não informado
AIS 20,2019-09-30,08:00:00,Pedra Branca,Masculino,32,Não informado
AIS 21,2019-10-01,10:30:00,Acopiara,Masculino,21,NAMORADO(A)
AIS 19,2019-10-02,10:30:00,Juazeiro do Norte,Masculino,65,Não informado
AIS 03,2019-10-02,20:30:00,Fortaleza,Masculino,47,Não informado
AIS 19,2019-10-06,03:00:00,Crato,Masculino,26,Não informado
AIS 24,2019-10-09,22:00:00,Pacatuba,Masculino,65,OUTROS
AIS 02,2019-10-10,18:36:00,Fortaleza,Masculino,35,TIO(A)
AIS 17,2019-10-11,08:30:00,Pentecoste,Masculino,40,Não informado
AIS 15,2019-10-11,12:00:00,Canindé,Masculino,54,Não informado
AIS 20,2019-10-13,08:00:00,Ibaretama,Masculino,39,Não informado
AIS 05,2019-10-13,18:00:00,Fortaleza,Masculino,32,Não informado
AIS 09,2019-10-13,21:30:00,Fortaleza,Masculino,29,PADRASTO
AIS 14,2019-10-14,09:00:00,São Benedito,Masculino,22,Não informado
AIS 15,2019-10-14,22:00:00,Baturité,Feminino,19,Não informado
AIS 09,2019-10-15,08:00:00,Fortaleza,Masculino,56,Não informado
AIS 17,2019-10-18,10:00:00,Cruz,Masculino,21,Não informado
AIS 06,2019-10-20,15:30:00,Fortaleza,Masculino,43,Não informado
AIS 11,2019-10-20,23:30:00,Caucaia,Masculino,19,Não informado
AIS 19,2019-10-21,14:28:00,Crato,Masculino,16,Não informado
AIS 17,2019-10-22,08:00:00,Cruz,Masculino,19,Não informado
AIS 14,2019-10-23,09:00:00,Massapê,Masculino,22,Não informado
AIS 16,2019-10-24,12:00:00,Santa Quitéria,Feminino,42,Não informado
AIS 19,2019-10-26,08:00:00,Juazeiro do Norte,Masculino,43,PADRASTO
AIS 07,2019-10-27,10:00:00,Fortaleza,Masculino,23,Não informado
AIS 15,2019-10-28,17:00:00,Barreira,Masculino,18,AMIGO(A)
AIS 14,2019-10-29,10:00:00,Viçosa do Ceará,Masculino,45,Não informado
AIS 15,2019-10-30,01:00:00,Baturité,Masculino,20,Não informado
AIS 12,2019-10-30,18:30:00,Maracanaú,Masculino,39,Não informado
AIS 23,2019-10-31,18:00:00,Trairi,Masculino,21,Não informado
AIS 19,2019-11-01,16:40:00,Juazeiro do Norte,Masculino,62,Não informado
AIS 16,2019-11-02,08:00:00,Ipaporanga,Masculino,65,Não informado
AIS 19,2019-11-03,20:30:00,Milagres,Masculino,14,Não informado
AIS 19,2019-11-08,08:00:00,Barbalha,Masculino,28,Não informado
AIS 25,2019-11-09,15:14:00,Pacajus,Masculino,52,Não informado
AIS 03,2019-11-09,20:00:00,Fortaleza,Masculino,28,Não informado
AIS 07,2019-11-10,01:30:00,Fortaleza,Masculino,43,Não informado
AIS 11,2019-11-12,17:30:00,Caucaia,Masculino,16,Não informado
AIS 20,2019-11-14,09:00:00,Choró,Masculino,17,Não informado
AIS 19,2019-11-14,12:00:00,Antonina do Norte,Masculino,75,Não informado
AIS 19,2019-11-15,00:30:00,Juazeiro do Norte,Masculino,27,OUTROS
AIS 21,2019-11-16,19:30:00,Tarrafas,Masculino,21,Não informado
AIS 19,2019-11-17,12:00:00,Brejo Santo,Masculino,19,Não informado
AIS 20,2019-11-19,06:30:00,Quixadá,Masculino,57,Não informado
AIS 14,2019-11-19,18:40:00,Barroquinha,Masculino,66,Não informado
AIS 06,2019-11-19,19:00:00,Fortaleza,Masculino,49,Não informado
AIS 19,2019-11-22,14:00:00,Abaiara,Masculino,23,Não informado
AIS 19,2019-11-23,15:00:00,Crato,Feminino,33,Não informado
AIS Não Identificada (Fortaleza),2019-11-25,10:00:00,Fortaleza,Masculino,62,Não informado
AIS 18,2019-11-25,10:00:00,Russas,Masculino,18,Não informado
AIS 21,2019-11-25,12:30:00,Iguatu,Masculino,44,Não informado
AIS 16,2019-11-25,13:00:00,Nova Russas,Masculino,Não informado,Não informado
AIS 14,2019-11-26,09:00:00,Sobral,Masculino,44,Não informado
AIS 15,2019-11-26,10:00:00,Itapiúna,Masculino,53,Não informado
AIS 23,2019-11-27,11:00:00,Paraipaba,Masculino,55,Não informado
AIS 25,2019-11-27,22:30:00,Chorozinho,Masculino,36,Não informado
AIS 14,2019-11-28,03:30:00,Viçosa do Ceará,Masculino,40,Não informado
AIS 21,2019-11-28,11:20:00,Iguatu,Masculino,71,Não informado
AIS 12,2019-11-28,15:00:00,Maracanaú,Masculino,69,Não informado
AIS 19,2019-11-29,19:00:00,Abaiara,Masculino,45,Não informado
AIS 03,2019-11-30,22:00:00,Fortaleza,Masculino,32,Não informado
AIS 14,2019-12-01,17:00:00,Sobral,Masculino,26,Não informado
AIS 21,2019-12-02,09:00:00,Ipaumirim,Masculino,19,Não informado
AIS 25,2019-12-02,12:00:00,Pacajus,Masculino,22,Não informado
AIS 21,2019-12-02,20:20:00,Tarrafas,Masculino,36,Não informado
AIS 17,2019-12-04,08:00:00,Acaraú,Masculino,24,Não informado
AIS 04,2019-12-04,13:20:00,Fortaleza,Masculino,57,Não informado
AIS 19,2019-12-04,16:30:00,Juazeiro do Norte,Masculino,30,Não informado
AIS 19,2019-12-06,11:30:00,Juazeiro do Norte,Masculino,49,Não informado
AIS 18,2019-12-06,16:30:00,Russas,Masculino,16,Não informado
AIS 22,2019-12-07,12:00:00,Aiuaba,Masculino,43,Não informado
AIS 20,2019-12-07,17:00:00,Senador Pompeu,Masculino,34,Não informado
AIS 05,2019-12-07,22:00:00,Fortaleza,Masculino,39,Não informado
AIS 08,2019-12-11,11:50:00,Fortaleza,Masculino,83,Não informado
AIS 17,2019-12-12,08:00:00,Tejuçuoca,Masculino,58,Não informado
AIS 19,2019-12-12,08:00:00,Juazeiro do Norte,Masculino,22,Não informado
AIS 17,2019-12-12,09:30:00,Morrinhos,Masculino,25,Não informado
AIS 14,2019-12-13,20:00:00,Meruoca,Masculino,27,Não informado
AIS 14,2019-12-15,21:00:00,Sobral,Masculino,31,Não informado
AIS 17,2019-12-17,08:20:00,Bela Cruz,Masculino,19,Não informado
AIS 16,2019-12-21,10:00:00,Ararendá,Masculino,43,Não informado
AIS 19,2019-12-21,19:30:00,Juazeiro do Norte,Masculino,12,Não informado
AIS 19,2019-12-22,07:30:00,Barbalha,Masculino,44,Não informado
AIS 22,2019-12-22,09:30:00,Piquet Carneiro,Masculino,45,Não informado
AIS 19,2019-12-23,19:00:00,Jati,Masculino,18,Não informado
AIS 14,2019-12-25,01:30:00,Sobral,Feminino,34,Não informado
AIS 14,2019-12-25,19:32:00,Sobral,Masculino,17,Não informado
AIS 23,2019-12-26,03:00:00,Paraipaba,Masculino,20,Não informado
AIS 17,2019-12-27,15:00:00,Umirim,Masculino,27,Não informado
AIS 14,2019-12-27,17:00:00,Sobral,Masculino,35,Não informado
AIS 17,2019-12-27,23:00:00,Itapajé,Masculino,30,OUTROS
AIS 15,2020-01-01,19:00:00,Boa Viagem,Masculino,Não informado,Não informado
AIS 16,2020-01-05,20:00:00,Catunda,Masculino,19,Não informado
AIS 16,2020-01-06,08:00:00,Novo Oriente,Masculino,Não informado,Não informado
AIS 14,2020-01-06,17:00:00,Croatá,Masculino,21,Não informado
AIS 06,2020-01-07,15:30:00,Fortaleza,Masculino,22,Não informado
AIS 17,2020-01-07,20:00:00,Itapajé,Masculino,37,Não informado
AIS 03,2020-01-08,11:00:00,Fortaleza,Masculino,60,Não informado
AIS 21,2020-01-10,17:50:00,Icó,Masculino,30,Não informado
AIS 14,2020-01-10,19:30:00,Senador Sá,Masculino,48,Não informado
AIS 03,2020-01-10,21:30:00,Fortaleza,Masculino,19,Não informado
AIS 18,2020-01-11,19:15:00,Tabuleiro do Norte,Masculino,32,Não informado
AIS 08,2020-01-13,14:00:00,Fortaleza,Masculino,16,Não informado
AIS 20,2020-01-14,18:00:00,Pedra Branca,Masculino,31,Não informado
AIS 25,2020-01-18,01:00:00,Horizonte,Masculino,44,Não informado
AIS 18,2020-01-19,21:00:00,Aracati,Masculino,20,Não informado
AIS 14,2020-01-19,23:00:00,Carnaubal,Masculino,24,Não informado
AIS 11,2020-01-20,08:00:00,Caucaia,Masculino,50,Não informado
AIS 14,2020-01-20,08:00:00,Uruoca,Masculino,18,Não informado
AIS 17,2020-01-20,09:00:00,Tejuçuoca,Masculino,35,Não informado
AIS 21,2020-01-20,19:00:00,Iguatu,Masculino,14,Não informado
AIS 05,2020-01-21,00:00:00,Fortaleza,Masculino,50,Não informado
AIS 15,2020-01-21,15:00:00,Barreira,Masculino,22,Não informado
AIS 16,2020-01-21,21:30:00,Nova Russas,Masculino,53,Não informado
AIS 19,2020-01-22,20:00:00,Crato,Masculino,39,Não informado
AIS 11,2020-01-22,21:30:00,Caucaia,Masculino,38,Não informado
AIS 14,2020-01-24,08:00:00,Guaraciaba do Norte,Masculino,19,Não informado
AIS 11,2020-01-27,23:00:00,Caucaia,Masculino,34,Não informado
AIS 14,2020-01-31,22:30:00,Sobral,Masculino,21,Não informado
AIS 20,2020-02-01,14:00:00,Quixadá,Masculino,57,Não informado
AIS 19,2020-02-02,08:40:00,Altaneira,Masculino,41,Não informado
AIS 19,2020-02-03,12:00:00,Assaré,Masculino,25,Não informado
AIS 11,2020-02-03,13:00:00,Caucaia,Masculino,30,Não informado
AIS 17,2020-02-05,09:00:00,Irauçuba,Masculino,60,Não informado
AIS 17,2020-02-06,09:30:00,Itapajé,Masculino,34,Não informado
AIS 15,2020-02-08,20:00:00,Ocara,Masculino,29,Não informado
AIS 11,2020-02-11,17:00:00,Caucaia,Masculino,37,Não informado
AIS 01,2020-02-12,11:00:00,Fortaleza,Masculino,44,TIO(A)
AIS 14,2020-02-12,20:00:00,Santana do Acaraú,Masculino,32,Não informado
AIS 25,2020-02-13,09:00:00,Chorozinho,Masculino,19,Não informado
AIS 03,2020-02-15,14:00:00,Fortaleza,Masculino,17,Não informado
AIS 14,2020-02-16,17:00:00,Camocim,Masculino,21,Não informado
AIS 23,2020-02-18,18:00:00,Paracuru,Masculino,58,Não informado
AIS 18,2020-02-18,19:30:00,Aracati,Masculino,77,Não informado
AIS 17,2020-02-19,20:00:00,Umirim,Masculino,36,PADRASTO
AIS 20,2020-02-21,09:40:00,Morada Nova,Masculino,38,Não informado
AIS 23,2020-02-22,02:00:00,Paraipaba,Masculino,66,Não informado
AIS 19,2020-02-23,14:00:00,Juazeiro do Norte,Masculino,44,Não informado
AIS 23,2020-02-26,00:00:00,São Luís do Curu,Masculino,29,Não informado
AIS 21,2020-02-26,14:00:00,Várzea Alegre,Masculino,12,Não informado
AIS 13,2020-02-27,14:00:00,Cascavel,Masculino,24,Não informado
AIS 19,2020-02-27,18:00:00,Santana do Cariri,Masculino,52,Não informado
AIS 11,2020-02-28,13:00:00,Caucaia,Masculino,13,Não informado
AIS 23,2020-03-02,10:00:00,Trairi,Masculino,39,Não informado
AIS 03,2020-03-02,23:00:00,Fortaleza,Masculino,26,Não informado
AIS 21,2020-03-03,13:53:00,Iguatu,Masculino,37,Não informado
AIS 17,2020-03-03,15:50:00,Itapajé,Masculino,41,Não informado
AIS 14,2020-03-04,14:00:00,Massapê,Masculino,23,Não informado
AIS 19,2020-03-05,12:00:00,Juazeiro do Norte,Masculino,48,Não informado
AIS 20,2020-03-05,18:00:00,Milhã,Masculino,23,Não informado
AIS 19,2020-03-06,09:30:00,Juazeiro do Norte,Masculino,21,Não informado
AIS 25,2020-03-07,14:50:00,Horizonte,Masculino,37,Não informado
AIS 22,2020-03-09,05:00:00,Tauá,Masculino,46,Não informado
AIS 14,2020-03-10,14:00:00,Tianguá,Masculino,13,Não informado
AIS 14,2020-03-10,20:00:00,Ubajara,Masculino,50,Não informado
AIS 07,2020-03-13,10:00:00,Fortaleza,Masculino,52,Não informado
AIS 14,2020-03-13,13:00:00,Sobral,Masculino,17,Não informado
AIS 19,2020-03-14,20:00:00,Penaforte,Masculino,36,Não informado
AIS 07,2020-03-15,19:00:00,Fortaleza,Masculino,61,Não informado
AIS 06,2020-03-17,11:18:00,Fortaleza,Masculino,30,Não informado
AIS 22,2020-03-17,17:00:00,Parambu,Masculino,58,Não informado
AIS 06,2020-03-18,10:00:00,Fortaleza,Masculino,49,ASCENDENTE
AIS 07,2020-03-23,08:00:00,Fortaleza,Masculino,34,Não informado
AIS 15,2020-03-24,19:30:00,Ocara,Masculino,72,Não informado
AIS 06,2020-03-26,22:00:00,Fortaleza,Masculino,13,Não informado
AIS 06,2020-03-27,14:00:00,Fortaleza,Masculino,18,Não informado
AIS 14,2020-03-27,18:30:00,Barroquinha,Masculino,Não informado,Não informado
AIS 21,2020-03-28,16:00:00,Orós,Masculino,33,Não informado
AIS 16,2020-03-29,00:00:00,Nova Russas,Feminino,24,Não informado
AIS 16,2020-03-30,10:00:00,Poranga,Masculino,24,Não informado
AIS 14,2020-04-01,08:00:00,Croatá,Masculino,18,Não informado
AIS 09,2020-04-01,23:30:00,Fortaleza,Masculino,46,Não informado
AIS 14,2020-04-03,10:30:00,Coreaú,Masculino,17,Não informado
AIS 14,2020-04-05,21:00:00,Chaval,Masculino,42,Não informado
AIS 15,2020-04-11,20:00:00,Boa Viagem,Masculino,38,Não informado
AIS 11,2020-04-12,09:00:00,Caucaia,Masculino,38,Não informado
AIS 19,2020-04-15,08:30:00,Juazeiro do Norte,Masculino,62,OUTROS
AIS 11,2020-04-16,10:00:00,Caucaia,Masculino,18,Não informado
AIS 14,2020-04-16,15:00:00,Graça,Masculino,36,Não informado
AIS 19,2020-04-19,17:00:00,Crato,Masculino,46,Não informado
AIS 24,2020-04-22,20:00:00,Guaiúba,Masculino,37,Não informado
AIS 14,2020-04-23,21:00:00,Sobral,Masculino,65,Não informado
AIS 23,2020-04-25,17:30:00,São Gonçalo do Amarante,Masculino,Não informado,PADRASTO
AIS 10,2020-04-25,19:40:00,Fortaleza,Masculino,55,Não informado
AIS 21,2020-04-28,09:15:00,Saboeiro,Masculino,20,Não informado
AIS 20,2020-04-28,18:00:00,Jaguaretama,Masculino,40,Não informado
AIS 18,2020-05-01,11:00:00,Beberibe,Masculino,38,Não informado
AIS 18,2020-05-02,16:30:00,Tabuleiro do Norte,Masculino,51,Não informado
AIS 19,2020-05-02,20:30:00,Juazeiro do Norte,Masculino,43,Não informado
AIS 20,2020-05-03,10:00:00,Ibicuitinga,Masculino,27,Não informado
AIS 11,2020-05-04,10:38:00,Caucaia,Masculino,48,Não informado
AIS 11,2020-05-05,10:00:00,Caucaia,Masculino,29,Não informado
AIS 20,2020-05-07,19:00:00,Quixeramobim,Masculino,73,Não informado
AIS 19,2020-05-07,19:20:00,Antonina do Norte,Masculino,71,Não informado
AIS 14,2020-05-08,16:00:00,São Benedito,Masculino,16,Não informado
AIS 17,2020-05-09,10:00:00,Jijoca de Jericoacoara,Masculino,63,Não informado
AIS 18,2020-05-14,08:00:00,Limoeiro do Norte,Masculino,19,Não informado
AIS 11,2020-05-16,16:00:00,Caucaia,Masculino,30,Não informado
AIS 17,2020-05-18,10:20:00,Amontada,Masculino,21,NAMORADO(A)
AIS 02,2020-05-18,16:00:00,Fortaleza,Masculino,31,Não informado
AIS 16,2020-05-21,09:00:00,Crateús,Masculino,62,Não informado
AIS 19,2020-05-21,10:00:00,Juazeiro do Norte,Masculino,50,Não informado
AIS 04,2020-05-21,14:30:00,Fortaleza,Masculino,36,Não informado
AIS 14,2020-05-23,13:00:00,Tianguá,Masculino,64,Não informado
AIS 20,2020-05-24,09:00:00,Quixadá,Masculino,32,Não informado
AIS 23,2020-05-25,08:00:00,Paracuru,Masculino,26,Não informado
AIS 12,2020-05-25,10:00:00,Maracanaú,Masculino,26,Não informado
AIS 14,2020-05-25,17:00:00,Sobral,Feminino,22,Não informado
AIS 17,2020-05-25,19:15:00,Itapajé,Masculino,49,Não informado
AIS 17,2020-05-26,09:00:00,Tururu,Masculino,36,Não informado
AIS 15,2020-05-27,15:00:00,Baturité,Masculino,38,Não informado
AIS 14,2020-05-28,10:00:00,Viçosa do Ceará,Masculino,20,Não informado
AIS 16,2020-05-29,19:00:00,Reriutaba,Masculino,22,Não informado
AIS 16,2020-05-30,21:30:00,Crateús,Masculino,26,Não informado
AIS 23,2020-06-01,16:00:00,São Gonçalo do Amarante,Masculino,33,Não informado
AIS 19,2020-06-02,15:00:00,Juazeiro do Norte,Masculino,40,Não informado
AIS 13,2020-06-02,16:00:00,Aquiraz,Masculino,83,Não informado
AIS 08,2020-06-02,19:30:00,Fortaleza,Masculino,15,Não informado
AIS 07,2020-06-03,16:00:00,Fortaleza,Masculino,59,Não informado
AIS 20,2020-06-05,10:45:00,Morada Nova,Masculino,73,Não informado
AIS 14,2020-06-05,12:12:00,Tianguá,Masculino,36,Não informado
AIS 04,2020-06-05,16:00:00,Fortaleza,Masculino,40,Não informado
AIS 16,2020-06-05,20:30:00,Santa Quitéria,Feminino,38,Não informado
AIS 23,2020-06-05,21:00:00,Trairi,Masculino,34,Não informado
AIS 19,2020-06-07,17:40:00,Juazeiro do Norte,Feminino,27,Não informado
AIS 20,2020-06-07,19:00:00,Morada Nova,Masculino,46,Não informado
AIS 08,2020-06-07,21:00:00,Fortaleza,Masculino,24,Não informado
AIS 23,2020-06-08,06:45:00,Trairi,Masculino,29,Não informado
AIS 21,2020-06-09,19:00:00,Icó,Masculino,20,Não informado
AIS 20,2020-06-10,15:00:00,Jaguaretama,Masculino,41,Não informado
AIS 12,2020-06-11,15:00:00,Maracanaú,Masculino,34,Não informado
AIS Não Identificada (Fortaleza),2020-06-14,09:00:00,Fortaleza,Masculino,24,Não informado
AIS 16,2020-06-15,13:59:59,Pires Ferreira,Masculino,21,Não informado
AIS 19,2020-06-16,07:59:59,Milagres,Masculino,18,Não informado
AIS 14,2020-06-16,07:59:59,São Benedito,Masculino,70,Não informado
AIS 17,2020-06-17,22:59:59,Itapipoca,Masculino,29,Não informado
AIS 18,2020-06-19,15:40:00,Jaguaribara,Masculino,38,Não informado
AIS 18,2020-06-21,18:29:59,Pereiro,Masculino,15,Não informado
AIS 14,2020-06-22,13:34:59,Camocim,Masculino,32,Não informado
AIS 20,2020-06-25,09:00:00,Quixeramobim,Masculino,15,Não informado
AIS 09,2020-06-27,00:00:00,Fortaleza,Masculino,38,Não informado
AIS 16,2020-06-27,10:00:00,Crateús,Masculino,20,Não informado
AIS 19,2020-06-28,00:00:00,Missão Velha,Masculino,28,Não informado
AIS 14,2020-06-28,13:59:59,Forquilha,Masculino,28,Não informado
AIS 15,2020-06-29,08:30:00,Ocara,Masculino,38,Não informado
AIS 20,2020-07-01,19:00:00,Quixeramobim,Masculino,15,Não informado
AIS 13,2020-07-02,12:30:00,Aquiraz,Masculino,33,Não informado
AIS 24,2020-07-03,05:00:00,Guaiúba,Masculino,15,Não informado
AIS 02,2020-07-08,14:00:00,Fortaleza,Masculino,45,Não informado
AIS 10,2020-07-09,10:00:00,Fortaleza,Masculino,73,Não informado
AIS 21,2020-07-09,17:00:00,Icó,Masculino,26,Não informado
AIS 20,2020-07-10,00:00:00,Quixeramobim,Masculino,16,Não informado
AIS 25,2020-07-11,20:30:00,Pacajus,Masculino,25,Não informado
AIS 18,2020-07-11,22:30:00,Russas,Masculino,37,Não informado
AIS 14,2020-07-11,22:30:00,Tianguá,Masculino,47,Não informado
AIS 04,2020-07-12,08:00:00,Fortaleza,Masculino,35,Não informado
AIS 13,2020-07-13,08:00:00,Cascavel,Masculino,60,Não informado
AIS 17,2020-07-17,22:00:00,Itapajé,Masculino,33,Não informado
AIS 14,2020-07-18,14:25:00,Massapê,Masculino,58,PAI
AIS 08,2020-07-18,23:44:00,Fortaleza,Masculino,50,Não informado
AIS 16,2020-07-19,19:00:00,Tamboril,Masculino,21,Não informado
AIS 21,2020-07-20,10:00:00,Jucás,Masculino,27,Não informado
AIS 08,2020-07-21,02:30:00,Fortaleza,Masculino,13,Não informado
AIS 04,2020-07-21,10:00:00,Fortaleza,Masculino,66,Não informado
AIS 20,2020-07-24,11:00:00,Quixeramobim,Masculino,63,Não informado
AIS 15,2020-07-24,12:00:00,Aracoiaba,Masculino,13,Não informado
AIS 15,2020-07-25,22:00:00,Aracoiaba,Masculino,15,Não informado
AIS 20,2020-07-25,23:00:00,Banabuiú,Masculino,44,Não informado
AIS 18,2020-07-26,21:30:00,Jaguaribara,Masculino,33,Não informado
AIS 12,2020-07-27,10:00:00,Maracanaú,Masculino,33,Não informado
AIS 22,2020-07-27,12:00:00,Tauá,Masculino,24,Não informado
AIS 17,2020-07-27,14:55:55,Acaraú,Masculino,27,Não informado
AIS 18,2020-08-02,12:00:00,Jaguaribe,Masculino,41,Não informado
AIS 14,2020-08-02,20:00:00,Massapê,Masculino,42,OUTROS
AIS 14,2020-08-05,09:30:00,Cariré,Masculino,29,Não informado
AIS 17,2020-08-05,17:00:00,Marco,Masculino,38,Não informado
AIS 11,2020-08-06,11:40:00,Caucaia,Masculino,53,Não informado
AIS 02,2020-08-08,08:00:00,Fortaleza,Masculino,46,Não informado
AIS 02,2020-08-09,21:30:00,Fortaleza,Masculino,49,Não informado
AIS 16,2020-08-10,10:00:00,Santa Quitéria,Masculino,43,Não informado
AIS 14,2020-08-10,14:30:00,Graça,Masculino,42,Não informado
AIS 02,2020-08-10,20:00:00,Fortaleza,Masculino,46,Não informado
AIS 08,2020-08-11,08:00:00,Fortaleza,Masculino,28,Não informado
AIS 17,2020-08-11,08:00:00,Itapipoca,Masculino,46,Não informado
AIS 05,2020-08-11,08:30:00,Fortaleza,Masculino,23,Não informado
AIS 16,2020-08-14,05:00:00,Crateús,Masculino,19,Não informado
AIS 17,2020-08-15,17:00:00,Itapajé,Masculino,65,Não informado
AIS 11,2020-08-16,15:00:00,Caucaia,Masculino,31,Não informado
AIS 01,2020-08-17,19:00:00,Fortaleza,Masculino,43,Não informado
AIS 12,2020-08-17,20:00:00,Maracanaú,Masculino,46,Não informado
AIS 08,2020-08-19,11:00:00,Fortaleza,Masculino,53,Não informado
AIS Não Identificada (Fortaleza),2020-08-21,12:00:00,Fortaleza,Masculino,40,Não informado
AIS 03,2020-08-24,09:00:00,Fortaleza,Masculino,44,Não informado
AIS 01,2020-08-24,10:00:00,Fortaleza,Masculino,45,Não informado
AIS 16,2020-08-24,16:00:00,Monsenhor Tabosa,Masculino,59,Não informado
AIS 12,2020-08-24,19:45:00,Maracanaú,Masculino,55,Não informado
AIS 12,2020-08-25,08:00:00,Maracanaú,Masculino,17,Não informado
AIS 06,2020-08-25,10:00:00,Fortaleza,Masculino,33,PADRASTO
AIS 21,2020-08-25,10:00:00,Icó,Masculino,45,Não informado
AIS 12,2020-08-25,14:00:00,Maracanaú,Masculino,54,Não informado
AIS 22,2020-08-25,15:00:00,Mombaça,Masculino,40,Não informado
AIS 21,2020-08-26,15:00:00,Icó,Masculino,19,Não informado
AIS 14,2020-08-27,00:40:00,Viçosa do Ceará,Masculino,27,Não informado
AIS 03,2020-08-28,15:00:00,Fortaleza,Masculino,39,Não informado
AIS 24,2020-08-28,16:00:00,Pacatuba,Masculino,29,Não informado
AIS Não Identificada (Fortaleza),2020-08-29,19:00:00,Fortaleza,Masculino,31,Não informado
AIS 14,2020-08-30,01:00:00,Sobral,Masculino,38,Não informado
AIS 14,2020-09-02,20:00:00,Sobral,Masculino,40,Não informado
AIS 19,2020-09-04,08:00:00,Araripe,Masculino,46,Não informado
AIS 18,2020-09-06,19:30:00,Russas,Masculino,57,Não informado
AIS 14,2020-09-07,18:00:00,Alcântaras,Masculino,13,Não informado
AIS 14,2020-09-09,22:00:00,Sobral,Masculino,52,Não informado
AIS 14,2020-09-10,13:42:00,Forquilha,Masculino,33,Não informado
AIS 14,2020-09-13,07:00:00,Massapê,Masculino,54,Não informado
AIS 17,2020-09-14,10:00:00,Marco,Masculino,34,Não informado
AIS 14,2020-09-14,15:40:00,Tianguá,Masculino,60,Não informado
AIS 03,2020-09-16,12:00:00,Fortaleza,Masculino,54,Não informado
AIS 06,2020-09-17,14:00:00,Fortaleza,Masculino,54,Não informado
AIS 14,2020-09-22,19:40:00,Sobral,Masculino,44,Não informado
AIS 16,2020-09-23,00:00:00,Independência,Masculino,27,Não informado
AIS 09,2020-09-23,16:00:00,Fortaleza,Masculino,36,Não informado
AIS 14,2020-09-23,18:00:00,Guaraciaba do Norte,Feminino,32,Não informado
AIS 14,2020-09-24,09:00:00,Barroquinha,Masculino,22,Não informado
AIS 21,2020-09-24,10:30:00,Orós,Masculino,20,Não informado
AIS 20,2020-09-24,15:00:00,Ibicuitinga,Masculino,61,Não informado
AIS 07,2020-09-25,19:00:00,Fortaleza,Masculino,73,Não informado
AIS 18,2020-09-26,16:00:00,Jaguaribe,Masculino,69,Não informado
AIS 20,2020-09-27,18:00:00,Quixeramobim,Masculino,27,Não informado
AIS 03,2020-09-27,19:00:00,Fortaleza,Masculino,60,Não informado
AIS 15,2020-09-28,04:00:00,Aracoiaba,Masculino,46,Não informado
AIS 14,2020-09-28,19:00:00,Massapê,Masculino,45,Não informado
AIS 22,2020-09-29,11:00:00,Quiterianópolis,Masculino,14,Não informado
AIS 19,2020-09-30,19:00:00,Crato,Masculino,48,Não informado
AIS 19,2020-10-02,12:00:00,Juazeiro do Norte,Masculino,12,Não Informado
AIS 20,2020-10-04,19:00:00,Banabuiú,Masculino,33,Não Informado
AIS 16,2020-10-05,23:00:00,Ipueiras,Masculino,18,Não Informado
AIS 16,2020-10-05,23:00:00,Ipueiras,Masculino,63,Não Informado
AIS 19,2020-10-06,02:30:00,Assaré,Masculino,45,Não Informado
AIS 06,2020-10-06,10:00:00,Fortaleza,Masculino,13,Não Informado
AIS 03,2020-10-06,11:20:00,Fortaleza,Masculino,49,Não Informado
